catcherid,balls,strikes,is_lhb,is_lhp,is_strike,is_swing,is_miss,is_ballinplay,px,pz,SpinRate,InducedVerticalBreak,HorizontalBreak,Pitch_Type
2,1,0,1,0,1,1,0,0,0.447,2.698,2082.766232,9.421254804,13.15714496,TwoSeam Fastball
2,1,1,1,0,1,1,0,0,0.188,2.721,1757.656247,7.735424211,12.61182445,Changeup
2,1,2,1,0,0,0,0,0,1.539,2.72,2245.156125,9.269473722,17.26990551,TwoSeam Fastball
2,2,2,1,0,1,0,0,0,-0.777,1.931,2201.788938,9.870855978,16.66412395,TwoSeam Fastball
2,0,0,0,0,0,0,0,0,1.744,3.412,2213.085813,10.28143757,17.54153866,TwoSeam Fastball
2,1,0,0,0,1,1,1,0,-0.148,1.549,2357.3551,7.312796762,2.930743396,Slider
2,1,1,0,0,1,1,0,0,-0.784,1.547,2372.899777,8.585244825,1.900220215,Slider
2,1,2,0,0,1,1,1,0,-0.704,1.175,2631.07385,-5.333341429,-5.47560221,Curveball
2,0,0,1,0,0,0,0,0,1,4.763,2195.356076,18.45679443,5.728754938,FourSeam Fastball
2,1,0,1,0,1,1,0,0,-0.556,2.404,2227.105344,17.2421109,3.623203456,FourSeam Fastball
2,1,1,1,0,1,1,1,0,0.368,2.524,2325.629514,18.09830063,7.41562885,FourSeam Fastball
2,1,2,1,0,1,1,0,0,0.007,2.85,2315.59924,18.59793823,5.882648408,FourSeam Fastball
2,1,2,1,0,0,1,0,1,0.804,3.23,2113.291623,14.34915035,6.86235851,FourSeam Fastball
2,0,0,0,0,1,0,0,0,-0.223,1.773,2561.364377,-1.215624878,-4.185539782,Slider
2,0,1,0,0,0,0,0,0,0.107,3.589,2377.456662,17.39627235,0.875443697,FourSeam Fastball
2,1,1,0,0,0,0,0,0,-1.112,1.953,2285.857785,16.91407554,0.330372989,FourSeam Fastball
2,2,1,0,0,1,1,0,0,-0.977,1.932,2300.640012,15.83168285,2.786200464,FourSeam Fastball
2,2,2,0,0,1,1,1,0,-0.018,2.297,2264.86218,20.20647209,3.619148195,FourSeam Fastball
2,0,0,1,0,1,0,0,0,-0.179,2.491,2463.827756,1.196911147,-5.237835467,Slider
2,0,1,1,0,1,0,0,0,-0.299,1.942,2512.940305,3.004867962,-3.426625073,Slider
2,0,2,1,0,0,1,0,1,-0.627,2.604,2342.135373,15.34257572,2.308395803,FourSeam Fastball
2,0,0,0,0,0,0,0,0,-0.429,0.885,2246.473996,3.775800398,17.81965297,TwoSeam Fastball
2,1,0,0,0,0,0,0,0,-0.673,1.22,2235.568234,7.275639703,14.40778297,TwoSeam Fastball
2,2,0,0,0,1,0,0,0,-0.432,2.355,2159.592649,15.80910461,7.09899658,FourSeam Fastball
2,2,1,0,0,1,0,0,0,-0.675,2.283,2270.59802,2.490128448,18.86686939,TwoSeam Fastball
2,2,2,0,0,1,1,1,0,0.059,0.943,2195.764035,1.484667232,15.83950657,TwoSeam Fastball
2,0,0,0,0,0,0,0,0,-1.424,1.447,2248.318234,7.236053636,14.58950084,TwoSeam Fastball
2,1,0,0,0,1,0,0,0,0.364,3.02,2202.658078,1.705292633,-2.916141093,Slider
2,1,1,0,0,0,0,0,0,-0.158,0.156,2213.482053,1.119949391,18.29741329,TwoSeam Fastball
2,2,1,0,0,0,1,0,1,0.401,2.257,2254.31799,2.617482832,-5.179573119,Slider
2,0,0,0,0,1,0,0,0,0.109,3.43,2278.256955,12.42701977,10.06436485,FourSeam Fastball
2,0,1,0,0,0,0,0,0,-1.649,2.152,2273.725461,12.40632789,9.526900709,FourSeam Fastball
2,1,1,0,0,1,1,0,0,-0.202,1.818,2173.790647,0.281971714,-1.547402918,Slider
